Wavelength (m),T = 273 K,T = 400 K,T = 600 K,T = 800 K,T = 1000 K,T = 1200 K,T = 1400 K,T = 1600 K,T = 1800 K,T = 2000 K,T = 2200 K,T = 2400 K,T = 2600 K,T = 2800 K,T = 3000 K
2.981981981981982e-07,4.989832413857813e-69,2.206431683684528e-45,1.2574159558654274e-28,2.1327875423939584e-20,1.5071995015756205e-15,2.2497679128835642e-12,3.7777927139483477e-10,1.6388561546074115e-08,2.907035034373086e-07,2.7728967656888065e-06,1.6913317490159585e-05,7.39959370986026e-05,0.0002513081792115044,0.000700768916179458,0.001671496875286765
3.0810810810810813e-07,1.2881595354168468e-66,9.369178907847705e-44,1.464851575749375e-27,1.30132935469108e-19,6.238276127316229e-15,7.188710175235691e-12,1.0033804303211789e-09,3.789153788092269e-08,6.033911929499304e-07,5.279482593749673e-06,3.0005725212483376e-05,0.00012376777819046543,0.00039990714737688404,0.0010684814171600659,0.002455878508790968
3.1801801801801803e-07,2.343090065431842e-64,3.1369060589824146e-42,1.4584797488206718e-26,7.065138149787948e-19,2.353712114714143e-14,2.127942778604317e-11,2.4974080798626496e-09,8.28114895706988e-08,1.1918232055677191e-06,9.617164135569905e-06,5.115487562317702e-05,0.0001996669919774038,0.0006156831799598371,0.0015803708419555881,0.0035083955077821033
3.279279279279279e-07,3.1001541529864053e-62,8.462528291860596e-41,1.259028758195639e-25,3.449828883443648e-18,8.164594925191504e-14,5.876620061610594e-11,5.860294306989748e-09,1.7197113958967617e-07,2.2505779843008075e-06,1.6830395736712405e-05,8.411976486661557e-05,0.00031173114919453004,0.0009199309281029936,0.0022740527839605106,0.0048861805089562005
3.378378378378378e-07,3.068773478159112e-60,1.8749942231150186e-39,9.543350705981095e-25,1.529392393620564e-17,2.623428312924303e-13,1.5235421756780903e-10,1.3033340025607564e-08,3.409081579394881e-07,4.079552036502705e-06,2.8399673438586648e-05,0.0001338642093214127,0.00047242116449390824,0.0013376583292114476,0.003191475135001947,0.006649815895289665
3.477477477477477e-07,2.329973270985909e-58,3.470198451681003e-38,6.4234414674949735e-24,6.207483533627052e-17,7.860375637784987e-13,3.7284685488859455e-10,2.760157147314418e-08,6.477472379320086e-07,7.1240958651157986e-06,4.6355504970313576e-05,0.00020675126531725116,0.0006967913690976748,0.0018974957831443219,0.004378280257997541,0.008861959448434579
3.576576576576577e-07,1.387258899863517e-56,5.446270945083307e-37,3.87762325686069e-23,2.3238787595358917e-16,2.2091280990640197e-12,8.65522263216992e-10,5.589346801801064e-08,1.18394368274497e-06,1.2023556680365655e-05,7.340035808393026e-05,0.0003107196502156147,0.0010025815673501473,0.0026314581815196003,0.005882994693130735,0.011585866103910361
3.6756756756756757e-07,6.606344891268936e-55,7.346215645652261e-36,2.11813993501261e-22,8.077714309809611e-16,5.854465873309785e-12,1.914208758103908e-09,1.0862949602223226e-07,2.0883975660035207e-06,1.9667872135023183e-05,0.00011303370979163333,0.00045543118807899537,0.0014102216448355267,0.0035745683519520137,0.007756087589030121,0.014883879846292969
3.7747747747747747e-07,2.5611566272957967e-53,8.61911137542907e-35,1.0553288481042781e-21,2.6224824471717403e-15,1.4698932447123467e-11,4.0490637290412434e-09,2.032980356727741e-07,3.5653521995845863e-06,3.1261272461722696e-05,0.0001696746221144453,0.0006523796071276203,0.001942744579478972,0.004764358249172254,0.01004894351091466,0.018815963844460677
3.8738738738738737e-07,8.212383354769703e-52,8.89150411077548e-34,4.830176018326796e-21,7.994527392641688e-15,3.5111466508436446e-11,8.22035118821506e-09,3.67457862005686e-07,5.906355576706508e-06,4.839157299159795e-05,0.00024877596311267643,0.0009149529883682616,0.0026256089326335587,0.006240270068154384,0.012812796028673136,0.023438327319406597
3.972972972972973e-07,2.2093206248841407e-50,8.143534940158925e-33,2.0439360206772622e-20,2.2993462744157455e-14,8.009859912341007e-11,1.6067929597649473e-08,6.431774079571391e-07,9.516385039356954e-06,7.310302602443553e-05,0.0003569244889173328,0.0012584445859983096,0.00348643664517009,0.008042983200121607,0.016097666145009914,0.02880219586160935
4.072072072072072e-07,5.051242409645697e-49,6.6799837828687e-32,8.042948702300863e-20,6.266415451933478e-14,1.751055499506169e-10,3.0324417533216e-08,1.0928196481278995e-06,1.4944024800998282e-05,0.00010797029355204792,0.0005019214766386237,0.0017000093787369777,0.0045546759314919055,0.010213694656009388,0.019951344940560122,0.034952759292232835
4.171171171171171e-07,9.929976628006254e-48,4.946521605527546e-31,2.9585655201203237e-19,1.6245380267240713e-13,3.6797446100065583e-10,5.539864303913343e-08,1.8063655253252293e-06,2.291535770959015e-05,0.00015617083168648343,0.0006928393911933402,0.002258566349686827,0.0058612020722363465,0.012793380463391336,0.02441845356730354,0.0419283187526278
4.27027027027027e-07,1.6962836700020803e-46,3.33045502558668e-30,1.0221789476720155e-18,4.020414717286166e-13,7.45411448299866e-10,9.819439654310066e-08,2.9104374884775493e-06,3.437100306182217e-05,0.00022155286115304625,0.000940051102201701,0.0029546489464816646,0.007437870886971088,0.015822063923723748,0.029539606635387804,0.04975964328492676
4.369369369369369e-07,2.5422673320933013e-45,2.0521998574031875e-29,3.3313967296371372e-18,9.528756410907686e-13,1.4592891350270716e-09,1.6922698350671382e-07,4.579138314162263e-06,5.050551766103684e-05,0.0003086961391358782,0.00125522935119123,0.0038102083031607346,0.00931704064745595,0.01933811386544964,0.03535069772706103,0.058469536236595565
4.4684684684684687e-07,3.372233118919498e-44,1.1642040462539247e-28,1.028220133029696e-17,2.1691794476288802e-12,2.767328664163924e-09,2.841058515026497e-07,7.046760627640719e-06,7.280819235295736e-05,0.00042296293671294704,0.001651315415321176,0.004848375517891103,0.011531078265391459,0.023377592516186627,0.04188231872025746,0.06807260365195791
4.5675675675675676e-07,3.990781852999265e-43,6.113473208274682e-28,3.016225647636174e-17,4.755619026910103e-12,5.094166538481828e-09,4.654549103413262e-07,1.0622352238605763e-05,0.00010310413288087687,0.0005705369435218027,0.00214245714021929,0.006093190529430322,0.014111864896514462,0.027973668686460777,0.04915931816497085,0.07857521048351124
4.6666666666666666e-07,4.2444088951866243e-42,2.986424429831258e-27,8.436922632584033e-17,1.0065380066697415e-11,9.120498664623712e-09,7.453424306575257e-07,1.5706045243821224e-05,0.00014359442039674284,0.0007584482404771525,0.0027439176527594106,0.0075693059129705465,0.017090314809202662,0.03315610790256609,0.0572004983548828,0.08997560590477381
4.7657657657657656e-07,4.0841836847073947e-41,1.3633105895189894e-26,2.2571068972104083e-16,2.0612716771157632e-11,1.5909865593566158e-08,1.1682891111848119e-06,2.2806977036909075e-05,0.0001968941077443516,0.0009945829716851745,0.003471957062080463,0.009301674247458817,0.0204959196394919,0.038950847183620206,0.06601844609466503,0.10226419607873806
4.864864864864865e-07,3.5776211064141793e-40,5.840249310110064e-26,5.791169624312366e-16,4.092727870519067e-11,2.7084634484770253e-08,1.7949157696734334e-06,3.2562553290313526e-05,0.00026606682323580334,0.001287676876511224,0.004343690278091021,0.011315227639506986,0.02435632815645758,0.045379658504407096,0.07561948851359704,0.11542394121932245
4.963963963963965e-07,2.869079893323759e-39,2.356835980358329e-25,1.4286587362644368e-15,7.893724626802514e-11,4.506475793113422e-08,2.7062810953513314e-06,4.57587308501163e-05,0.0003546548211452959,0.0016472923818271312,0.005376924701529763,0.013634557586192883,0.028696969535778875,0.05245990174136105,0.08600376258737584,0.12943085343878144
5.063063063063063e-07,2.117460511606296e-38,8.991365400323592e-25,3.3966741488077346e-15,1.4814832686795576e-10,7.338484206875323e-08,4.008945205096653e-06,6.335093605765396e-05,0.00046670343176871454,0.0020837794758486786,0.006589981963143953,0.016283602690299475,0.03354072600583083,0.060204365134562836,0.09716538522594607,0.1442545724599338
5.162162162162162e-07,1.4451171929498906e-37,3.253408679584755e-24,7.799721048902232e-15,2.7098981398509397e-10,1.1710681801132292e-07,5.840776806533564e-06,8.648518433481562e-05,0.0006067790157614987,0.0026082210662512462,0.008001508118365589,0.019285350877962727,0.03890765868584359,0.06862118904306216,0.1090927097612509,0.1598589975587277
5.261261261261261e-07,9.160908954917702e-37,1.119900135109292e-23,1.733283598545842e-14,4.838307517154732e-10,1.8334695740363239e-07,8.377501226238355e-06,0.00011651893215169139,0.0007799797083658903,0.0032323639491765145,0.009630276753781869,0.022661561777973988,0.044814788550856806,0.07771386702101056,0.12176865430641348,0.17620295588332222
5.360360360360361e-07,5.416404896154435e-36,3.677572880542747e-23,3.734450131208297e-14,8.443317306625301e-10,2.819369827365529e-07,1.1839964204419677e-05,0.00015504117403409044,0.0009919384392905177,0.0039685368703989655,0.011494989354823163,0.026432513865165777,0.051275932781903684,0.08748131697086098,0.13517108763459398,0.19324088939153114
5.459459459459459e-07,2.998331862388677e-35,1.1550736270073226e-22,7.814347168165427e-14,1.4419929515673468e-09,4.262394842702736e-07,1.6502063086670015e-05,0.00020389129545633948,0.0012488179237098824,0.004829557438480097,0.013614077046335209,0.030616779899843127,0.058301595320491326,0.09791801429387495,0.14927325882334078,0.21092354491031554
5.558558558558559e-07,1.5594970953414685e-34,3.4783148155157995e-22,1.5905851258823858e-13,2.4129875954604043e-09,6.341376741927878e-07,2.2699273802906536e-05,0.00026517620685317646,0.0015572975300292605,0.005828629849942911,0.016005507476574032,0.035231033154033926,0.0658989092557574,0.10901417850419969,0.16404425781981694,0.2291986541294999
5.657657657657658e-07,7.646412465547759e-34,1.0064908974090292e-21,3.153986547804422e-13,3.9606302657690555e-09,9.292186156935052e-07,3.083767974792341e-05,0.00034128531339605697,0.001924552132654213,0.006979235509960775,0.018686600197999025,0.04028988593673572,0.07407162772904477,0.12075600464303049,0.17944949520693795,0.24801159260505642
5.756756756756757e-07,3.545130272454706e-33,2.8043762276956882e-21,6.1009510926173e-13,6.383120475979293e-09,1.3421674200484126e-06,4.140338824094285e-05,0.00043490291784905563,0.002358223246248414,0.008295018683474332,0.021673853430843673,0.04580576103852182,0.08282015933245461,0.13312593096554298,0.19545119070759365,0.2673060089973278
5.855855855855856e-07,1.5586567897488396e-32,7.538594555524121e-21,1.1527243138736645e-12,1.0110515980971911e-08,1.9123875010850273e-06,5.497220241365594e-05,0.0005490177075522467,0.0028663829065268,0.009789669298020059,0.024982784601161486,0.05178879592673016,0.09214164348647923,0.1461029347193211,0.2120088612847568,0.2870244177598719
5.954954954954954e-07,6.515865366559227e-32,1.9586554489279403e-20,2.1299122733620667e-12,1.575322327109265e-08,2.6898588393812103e-06,7.221940179208949e-05,0.0006869290389085901,0.003457490907652611,0.011476804949402442,0.0286277865441371,0.058246778844826236,0.10203006098384795,0.159662848337247,0.22907980102439193,0.3071087502957439
6.054054054054054e-07,2.5964520899958676e-31,4.926895904397315e-20,3.852922540428215e-12,2.41646338836039e-08,3.7372423964482977e-06,9.392947397414445e-05,0.0008522498010841072,0.004140346125344477,0.013369854044061205,0.03262200077286008,0.06518511540619253,0.11247637475663111,0.17377868898413124,0.2466195462827584,0.32750086119467303
6.153153153153154e-07,9.885266427610202e-31,1.20177452214555e-19,6.830675458552282e-12,3.6520874711837085e-08,5.132234419650477e-06,0.00012100563297056704,0.0010489057123924444,0.004924032746715152,0.015481941857255927,0.036977208745997234,0.07260682382169273,0.12346869593503061,0.1884209950846546,0.2645823208084265,0.3481429875525531
6.252252252252252e-07,3.6036704296194015e-30,2.8467522565620266e-19,1.1879698470199842e-11,5.4420966176982946e-08,6.970169504569473e-06,0.00015447895711207866,0.0012811309755694678,0.005817862292659902,0.017825781103500887,0.04170374163513183,0.08051255655636669,0.13499247039329862,0.2035581641868401,0.2829214566897743,0.3689781605574948
6.351351351351351e-07,1.2604908628283107e-29,6.557765678505227e-19,2.0286750796904897e-11,8.001098096924706e-08,9.366866065465161e-06,0.0001955169809081727,0.0015534602896091756,0.006831312357252721,0.020413568414000622,0.046810408701223154,0.0889006459654367,0.14703068119646076,0.21915678725238005,0.30158978801700936,0.38995056951458085
6.450450450450451e-07,4.2384469233204055e-29,1.4709803952597485e-18,3.40453023719084e-11,1.1613605460267884e-07,1.2461702452426184e-05,0.0002454315807063975,0.0018707172840635026,0.007973963002814983,0.023256887903312568,0.05230444404421545,0.09776717130371027,0.15956406264864836,0.23518197519102862,0.32054001507585494,0.4110058792878733
6.549549549549549e-07,1.3725556650955947e-28,3.2168696592436143e-18,5.6193890670003454e-11,1.66524303897527e-07,1.6420906498752993e-05,0.00030568600315184565,0.0022379995050579777,0.00925543174138723,0.02636662279130866,0.058191471192624376,0.10710604442465994,0.17257132197991185,0.25159767415369294,0.3397250377060017,0.43209150277966674
6.648648648648649e-07,4.287915297842026e-28,6.8664872650806155e-18,9.129284980559736e-11,2.3600684801037119e-07,2.1441035937637195e-05,0.0003779008978894063,0.0026606601394315752,0.010685308005939335,0.029752875832865455,0.06447548475122421,0.1169091114749203,0.1860293650760508,0.2683669667556234,0.35909825716211313,0.45315683056095246
6.747747747747747e-07,1.294341342025647e-27,1.4321214275062966e-17,1.4608622103544406e-10,3.3077818730358184e-07,2.7752622041403038e-05,0.0004638592312136182,0.0031442867134020727,0.01227308797070607,0.03342489910166399,0.07115884812367285,0.1271662679356926,0.19991352304051987,0.28545235700874433,0.37861384641376716,0.4741534201312982
